name,description,category,price,inventory,status
Holiday Prep Footwear Trail Runner,Dummy import product 1 for the Footwear category in the Holiday Prep workbook.,Footwear,32.99,13,Active
Holiday Prep Footwear Court Sneaker,Dummy import product 2 for the Footwear category in the Holiday Prep workbook.,Footwear,33.99,14,Low Stock
Holiday Prep Footwear Daily Walker,Dummy import product 3 for the Footwear category in the Holiday Prep workbook.,Footwear,34.99,15,Draft
Holiday Prep Footwear Kids Slip-On,Dummy import product 4 for the Footwear category in the Holiday Prep workbook.,Footwear,35.99,16,Active
Holiday Prep Footwear Studio Trainer,Dummy import product 5 for the Footwear category in the Holiday Prep workbook.,Footwear,36.99,17,Active
Holiday Prep Footwear Commuter Loafer,Dummy import product 6 for the Footwear category in the Holiday Prep workbook.,Footwear,37.99,18,Low Stock
Holiday Prep Footwear Weekend Sandal,Dummy import product 7 for the Footwear category in the Holiday Prep workbook.,Footwear,38.99,19,Draft
Holiday Prep Footwear Performance Cleat,Dummy import product 8 for the Footwear category in the Holiday Prep workbook.,Footwear,39.99,20,Active
Holiday Prep Footwear Weather Boot,Dummy import product 9 for the Footwear category in the Holiday Prep workbook.,Footwear,40.99,21,Active
Holiday Prep Footwear Recovery Slide,Dummy import product 10 for the Footwear category in the Holiday Prep workbook.,Footwear,41.99,22,Low Stock
Holiday Prep Apparel Everyday Tee,Dummy import product 1 for the Apparel category in the Holiday Prep workbook.,Apparel,32.99,13,Active
Holiday Prep Apparel Performance Hoodie,Dummy import product 2 for the Apparel category in the Holiday Prep workbook.,Apparel,33.99,14,Low Stock
Holiday Prep Apparel Stretch Jogger,Dummy import product 3 for the Apparel category in the Holiday Prep workbook.,Apparel,34.99,15,Draft
Holiday Prep Apparel Thermal Henley,Dummy import product 4 for the Apparel category in the Holiday Prep workbook.,Apparel,35.99,16,Active
Holiday Prep Apparel Rain Shell,Dummy import product 5 for the Apparel category in the Holiday Prep workbook.,Apparel,36.99,17,Active
Holiday Prep Apparel Yoga Tank,Dummy import product 6 for the Apparel category in the Holiday Prep workbook.,Apparel,37.99,18,Low Stock
Holiday Prep Apparel Fleece Quarter Zip,Dummy import product 7 for the Apparel category in the Holiday Prep workbook.,Apparel,38.99,19,Draft
Holiday Prep Apparel Kids Graphic Tee,Dummy import product 8 for the Apparel category in the Holiday Prep workbook.,Apparel,39.99,20,Active
Holiday Prep Apparel Lounge Short,Dummy import product 9 for the Apparel category in the Holiday Prep workbook.,Apparel,40.99,21,Active
Holiday Prep Apparel Travel Polo,Dummy import product 10 for the Apparel category in the Holiday Prep workbook.,Apparel,41.99,22,Low Stock
Holiday Prep Electronics Bluetooth Earbuds,Dummy import product 1 for the Electronics category in the Holiday Prep workbook.,Electronics,32.99,13,Active
Holiday Prep Electronics Smart Speaker,Dummy import product 2 for the Electronics category in the Holiday Prep workbook.,Electronics,33.99,14,Low Stock
Holiday Prep Electronics Fitness Tracker,Dummy import product 3 for the Electronics category in the Holiday Prep workbook.,Electronics,34.99,15,Draft
Holiday Prep Electronics Portable Charger,Dummy import product 4 for the Electronics category in the Holiday Prep workbook.,Electronics,35.99,16,Active
Holiday Prep Electronics LED Desk Lamp,Dummy import product 5 for the Electronics category in the Holiday Prep workbook.,Electronics,36.99,17,Active
Holiday Prep Electronics Streaming Stick,Dummy import product 6 for the Electronics category in the Holiday Prep workbook.,Electronics,37.99,18,Low Stock
Holiday Prep Electronics Noise Cancel Headset,Dummy import product 7 for the Electronics category in the Holiday Prep workbook.,Electronics,38.99,19,Draft
Holiday Prep Electronics Action Camera,Dummy import product 8 for the Electronics category in the Holiday Prep workbook.,Electronics,39.99,20,Active
Holiday Prep Electronics Wireless Keyboard,Dummy import product 9 for the Electronics category in the Holiday Prep workbook.,Electronics,40.99,21,Active
Holiday Prep Electronics 4K Monitor,Dummy import product 10 for the Electronics category in the Holiday Prep workbook.,Electronics,41.99,22,Low Stock
Holiday Prep Accessories Travel Backpack,Dummy import product 1 for the Accessories category in the Holiday Prep workbook.,Accessories,32.99,13,Active
Holiday Prep Accessories Insulated Bottle,Dummy import product 2 for the Accessories category in the Holiday Prep workbook.,Accessories,33.99,14,Low Stock
Holiday Prep Accessories Weekend Tote,Dummy import product 3 for the Accessories category in the Holiday Prep workbook.,Accessories,34.99,15,Draft
Holiday Prep Accessories Phone Wallet,Dummy import product 4 for the Accessories category in the Holiday Prep workbook.,Accessories,35.99,16,Active
Holiday Prep Accessories Polarized Sunglasses,Dummy import product 5 for the Accessories category in the Holiday Prep workbook.,Accessories,36.99,17,Active
Holiday Prep Accessories Canvas Belt,Dummy import product 6 for the Accessories category in the Holiday Prep workbook.,Accessories,37.99,18,Low Stock
Holiday Prep Accessories Laptop Sleeve,Dummy import product 7 for the Accessories category in the Holiday Prep workbook.,Accessories,38.99,19,Draft
Holiday Prep Accessories Packing Cubes,Dummy import product 8 for the Accessories category in the Holiday Prep workbook.,Accessories,39.99,20,Active
Holiday Prep Accessories Compact Umbrella,Dummy import product 9 for the Accessories category in the Holiday Prep workbook.,Accessories,40.99,21,Active
Holiday Prep Accessories Baseball Cap,Dummy import product 10 for the Accessories category in the Holiday Prep workbook.,Accessories,41.99,22,Low Stock
Holiday Prep Fitness Yoga Mat,Dummy import product 1 for the Fitness category in the Holiday Prep workbook.,Fitness,32.99,13,Active
Holiday Prep Fitness Resistance Band Set,Dummy import product 2 for the Fitness category in the Holiday Prep workbook.,Fitness,33.99,14,Low Stock
Holiday Prep Fitness Foam Roller,Dummy import product 3 for the Fitness category in the Holiday Prep workbook.,Fitness,34.99,15,Draft
Holiday Prep Fitness Adjustable Dumbbell,Dummy import product 4 for the Fitness category in the Holiday Prep workbook.,Fitness,35.99,16,Active
Holiday Prep Fitness Recovery Ball,Dummy import product 5 for the Fitness category in the Holiday Prep workbook.,Fitness,36.99,17,Active
Holiday Prep Fitness Jump Rope,Dummy import product 6 for the Fitness category in the Holiday Prep workbook.,Fitness,37.99,18,Low Stock
Holiday Prep Fitness Core Slider,Dummy import product 7 for the Fitness category in the Holiday Prep workbook.,Fitness,38.99,19,Draft
Holiday Prep Fitness Exercise Bike Mat,Dummy import product 8 for the Fitness category in the Holiday Prep workbook.,Fitness,39.99,20,Active
Holiday Prep Fitness Hydration Vest,Dummy import product 9 for the Fitness category in the Holiday Prep workbook.,Fitness,40.99,21,Active
Holiday Prep Fitness Mini Stepper,Dummy import product 10 for the Fitness category in the Holiday Prep workbook.,Fitness,41.99,22,Low Stock
